Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Sleep_Hours,Previous_Scores,Motivation_Level,Tutoring_Sessions,Family_Income,Teacher_Quality,Physical_Activity,Extracurricular_Activities_No,Extracurricular_Activities_Yes,Internet_Access_No,Internet_Access_Yes,School_Type_Private,School_Type_Public,Peer_Influence_Negative,Peer_Influence_Neutral,Peer_Influence_Positive,Learning_Disabilities_No,Learning_Disabilities_Yes,Parental_Education_Level_College,Parental_Education_Level_High School,Parental_Education_Level_Postgraduate,Distance_from_Home_Far,Distance_from_Home_Moderate,Distance_from_Home_Near,Gender_Female,Gender_Male,Exam_Score
0.6,0.6000000000000001,0.5,0.0,0.4999999999999999,0.45999999999999996,0.5,0.0,0.5,1.0,0.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,67
0.4666666666666667,0.10000000000000009,0.5,1.0,0.6666666666666666,0.17999999999999994,0.5,0.25,1.0,1.0,0.6666666666666666,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,61
0.6333333333333334,0.9500000000000002,1.0,1.0,0.4999999999999999,0.8200000000000001,1.0,0.25,1.0,1.0,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,74
0.8,0.7250000000000001,0.5,1.0,0.6666666666666666,0.96,1.0,0.125,1.0,1.0,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,71
0.4666666666666667,0.8000000000000003,1.0,1.0,0.33333333333333337,0.30000000000000004,1.0,0.375,1.0,0.0,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,70
0.4666666666666667,0.7000000000000002,1.0,1.0,0.6666666666666666,0.78,1.0,0.375,1.0,1.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,71
0.8,0.6000000000000001,1.0,0.5,0.4999999999999999,0.3600000000000001,0.5,0.125,0.5,1.0,0.3333333333333333,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,67
0.6666666666666667,0.4500000000000002,0.5,0.0,0.33333333333333337,0.0,1.0,0.125,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,66
0.4,0.8500000000000001,1.0,0.0,0.33333333333333337,0.6000000000000001,0.0,0.0,1.0,0.5,0.16666666666666666,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,69
0.6,0.9500000000000002,1.0,1.0,0.6666666666666666,0.41999999999999993,1.0,0.0,0.0,0.0,0.8333333333333333,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,72
